date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:41	183/183	---MC-	200	added ('OK')	text/plain	date:Tue,%2004%20Jul%202023%2023:08:38%20GMT	https://saintnicholashospital.com/robots.txt		(from )
00:08:42	200499/200499	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jul%202023%2023:08:39%20GMT	https://saintnicholashospital.com/	C:/My%20Web%20Sites/chops/saintnicholashospital.com/index.html	(from )
00:08:43	62218/62218	---M--	200	added ('OK')	image/png	etag:%22f30a-5be503b978480%22	https://saintnicholashospital.com/wp-content/uploads/2021/03/SNH-LOGO01.png	C:/My%20Web%20Sites/chops/saintnicholashospital.com/wp-content/uploads/2021/03/SNH-LOGO01.png	(from https://saintnicholashospital.com/)
00:08:43	97517/97517	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2000:22:37%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/dist/block-library/style.min.css	(from https://saintnicholashospital.com/)
00:08:43	13679/13679	---M-Z	200	added ('OK')	text/css	etag:%22356f-5fe212cf118d1-gzip%22	https://saintnicholashospital.com/wp-content/plugins/insta-gallery/assets/frontend/swiper/swiper.min.css?ver=4.1.1	C:/My%20Web%20Sites/chops/saintnicholashospital.com/wp-content/plugins/insta-gallery/assets/frontend/swiper/swiper.min0235.css	(from https://saintnicholashospital.com/)
00:08:44	55478/55478	---M-Z	200	added ('OK')	text/css	etag:%22d8b6-5fe212cf13812-gzip%22	https://saintnicholashospital.com/wp-content/plugins/insta-gallery/build/frontend/css/style.css?ver=4.1.1	C:/My%20Web%20Sites/chops/saintnicholashospital.com/wp-content/plugins/insta-gallery/build/frontend/css/style0235.css	(from https://saintnicholashospital.com/)
00:08:44	5854/5854	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Nov%202021%2023:22:02%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/buttons.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/buttons.min.css	(from https://saintnicholashospital.com/)
00:08:44	62923/62923	---MC-	200	added ('OK')	application/rss+xml	etag:%2246b6640367420a2134a4efddbef84edb%22	https://saintnicholashospital.com/feed/	C:/My%20Web%20Sites/chops/saintnicholashospital.com/feed/index.html	(from https://saintnicholashospital.com/)
00:08:44	59016/59016	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/dashicons.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/dashicons.min.css	(from https://saintnicholashospital.com/)
00:08:44	12405/12405	---MC-	200	added ('OK')	application/rss+xml	etag:%2246b6640367420a2134a4efddbef84edb%22	https://saintnicholashospital.com/comments/feed/	C:/My%20Web%20Sites/chops/saintnicholashospital.com/comments/feed/index.html	(from https://saintnicholashospital.com/)
00:08:45	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://saintnicholashospital.com/)
00:08:45	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://saintnicholashospital.com/)
00:08:45	46715/46715	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Sep%202022%2004:02:10%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/media-views.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/media-views.min.css	(from https://saintnicholashospital.com/)
00:08:46	83315/83315	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2000:22:37%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/dist/components/style.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/dist/components/style.min.css	(from https://saintnicholashospital.com/)
00:08:46	108997/108997	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202023%2016:33:41%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/dist/block-editor/style.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/dist/block-editor/style.min.css	(from https://saintnicholashospital.com/)
00:08:46	2811/2811	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2007:04:52%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/dist/nux/style.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/dist/nux/style.min.css	(from https://saintnicholashospital.com/)
00:08:46	525/525	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2007:04:52%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/dist/reusable-blocks/style.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/dist/reusable-blocks/style.min.css	(from https://saintnicholashospital.com/)
00:08:47	17980/17980	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2013:00:09%20GMT	https://c0.wp.com/c/6.2.2/wp-includes/css/dist/editor/style.min.css	C:/My%20Web%20Sites/chops/c0.wp.com/c/6.2.2/wp-includes/css/dist/editor/style.min.css	(from https://saintnicholashospital.com/)
00:08:47	10926/10926	---M-Z	200	added ('OK')	text/css	etag:%222aae-5fe212cf12871-gzip%22	https://saintnicholashospital.com/wp-content/plugins/insta-gallery/build/backend/css/style.css?ver=4.1.1	C:/My%20Web%20Sites/chops/saintnicholashospital.com/wp-content/plugins/insta-gallery/build/backend/css/style0235.css	(from https://saintnicholashospital.com/)
00:08:47	602/602	---M-Z	200	added ('OK')	text/css	etag:%2225a-5fe212baba125-gzip%22	https://saintnicholashospital.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/view.css?minify=false&ver=34ae973733627b74a14e	C:/My%20Web%20Sites/chops/saintnicholashospital.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/view1eec.css	(from https://saintnicholashospital.com/)
